* 9 10 * * 13 * 15 * 17 * 19 20 21 * * * * * * * * 30 31 * 33 * * * * 38 * * * * * * * 46 * 48 49 * * 52 * * * 56 57 58 * * * * 3 * 5 6 7 
10 11 12 13 14 * 16 17 * 19 * 21 22 * 24 * 26 * * 29 * * 32 33 * 35 * * * * 40 41 * 43 * 45 46 * * 49 * 51 * 53 * * * * * * 60 * 2 * * 5 * 7 * 9 
* * 40 41 * * * * 46 47 48 * * 51 * * * * * * 58 * * 1 * * * 5 * * * 9 * 11 * 13 * * * * 18 19 * * * * * * 26 * * * 30 * 32 * * 35 36 37 
* * 60 * * * * * * * * * 10 * 12 13 * 15 * * 18 19 * 21 * * * * * * 28 * 30 31 * 33 34 * 36 * 38 * * * * * * * 46 * * * * * 52 * * * * 57 
* 25 * * * 29 30 * 32 33 34 * * 37 * * * * * * * * * 47 48 49 * 51 52 * * * * 57 58 * * * 2 * * 5 * * * * * * * * * * * * * 19 * * 22 * 
* * * * * * 35 * * 38 * * * * 43 44 45 46 47 * * 50 51 52 * 54 * * * * * * 1 * * * * * * * * * * * * 14 15 * 17 18 * * * 22 23 24 * * * * 
14 * * * * * 20 * * * 24 * * * * * * 31 * * 34 35 36 * 38 * * 41 * * 44 * 46 * * * * * * * 54 * * 57 58 59 60 * * * * * * 7 8 * * 11 12 * 
26 * * * * * * * 34 * * * * 39 * 41 * 43 * * * * 48 * * * * * 54 * * * * * * 1 * 3 * * * 7 8 * 10 * * * 14 * 16 * * * * * 22 * 24 * 
* 28 29 30 31 * * 34 35 * 37 * 39 * * * 43 * * 46 * * 49 * * * * * * * 57 * 59 * 1 * 3 * 5 * * * * * 11 * * 14 15 * 17 * * * * * * * * * 
* * 15 * * * 19 * * * 23 * * * * 28 29 * 31 * * 34 * * * 38 * * * 42 43 * 45 * 47 * * 50 * * * 54 * * * * * 60 * 2 * * * 6 7 8 * 10 11 * 
* * 7 * 9 * * * 13 * 15 * * * * 20 21 * * * * * * * * 30 31 * * * * * * 38 * * * * 43 * 45 46 * * * * * * * * * * * 58 * 60 1 * 3 * 
* 50 51 * * * 55 * * * * * * * 3 4 5 * 7 8 9 10 * 12 13 * 15 16 * 18 19 20 * * * * 25 26 * * 29 * 31 * 33 * 35 * * * 39 40 41 42 * * * 46 * * 
* 55 * 57 58 * * * * 3 * 5 6 * 8 * * * 12 * * * * * 18 * * * * * * * * * * * 30 * 32 33 34 * 36 37 38 * 40 41 * 43 44 45 46 * * * * 51 52 * 
* 36 * * 39 * * * * 44 45 * 47 * * * 51 52 53 * * 56 57 * * 60 1 2 3 * * * * 8 * * 11 * * * 15 * * * * * * 22 23 24 * * 27 * 29 30 31 32 * * 
* * 18 * * * * * 24 25 26 * 28 29 * 31 * 33 * * * * * * * * 42 43 * * * * * 49 * 51 * * * 55 56 57 * * 60 1 * 3 * * * * * 9 * * * * * 15 
* * * * * * 26 27 * 29 * 31 * * * * * * 38 * * * 42 * * * * * 48 49 * * * * 54 * * 57 * * * * * * * 5 * * * 9 * 11 * * * 15 16 17 18 19 
* 20 21 * * 24 25 26 * * * 30 * * 33 34 35 * 37 38 * 40 * 42 43 44 * * 47 * 49 50 * * * * 55 * * * 59 60 * * * * * 6 7 * * 10 11 * * * * 16 * 18 
* * * * 43 * * * * 48 * * 51 52 53 * 55 * 57 58 * * * 2 * * 5 * * 8 9 * * 12 13 * 15 * 17 18 * 20 * * * * 25 * * 28 29 * * * 33 * * * 37 * 
21 * * * * * 27 * 29 30 * * * * 35 * 37 * * 40 * * 43 44 45 * * * * 50 * 52 53 54 * * * 58 * * * * * * * * 7 * * 10 * 12 13 * * 16 * * 19 20 
* * * * * 46 * 48 * * * * * 54 * 56 * 58 * 60 * 2 3 4 * * * * 9 * 11 * * 14 15 16 * 18 * * * * 23 * 25 * * 28 * * * * 33 * 35 * 37 * 39 * 
* * 39 40 * * * * * * 47 48 * * * * * * 55 * 57 * 59 * * * * * * 6 * * * * 11 12 * * 15 * 17 * * 20 21 22 * 24 * 26 27 * * * 31 * * * * * 
* 43 * * * * * 49 * * * * 54 * * * * 59 * 1 * 3 4 * * 7 * * * * 12 * * * 16 * * * 20 * * * * 25 * * * * * 31 * * * * * 37 * 39 40 * 
46 47 48 49 50 * 52 53 54 * * * * 59 * * 2 3 * 5 6 7 8 * * * * 13 14 15 * 17 18 * * 21 * * * 25 26 * * * 30 * * 33 * * 36 37 * * 40 * 42 * 44 * 
* * 2 * * * * * * * 10 * * 13 * * * 17 * 19 20 * * 23 * * * * * * * * 32 * * * * * 38 * * * * * 44 * 46 47 48 * * * * * 54 * * 57 * 59 
* * * * * * * * * 59 60 * 2 * * * * 7 * 9 10 * * * 14 15 * * * * 20 * * 23 * * 26 * 28 * 30 * * * 34 35 * 37 38 * * * * * * * * * * 49 
* * 42 43 * * 46 47 * * 50 * * * 54 55 56 57 * 59 * 1 * * * 5 * * * 9 * * 12 13 14 * * * * 19 * 21 * * * * * 27 28 * * * * 33 * 35 36 * * * 
* 45 * 47 48 * 50 * * * 54 * 56 57 58 59 * 1 2 * 4 * * * * * 10 11 * * * * * 17 18 * * * * * 24 * 26 * * * * * 32 * 34 35 * 37 38 39 * * * * 
32 33 * * * 37 * 39 * 41 * 43 44 * 46 * 48 49 50 * * * * * 56 57 * * * 1 2 3 * 5 * * 8 * 10 11 * * * 15 * * 18 * * * * * * * * * 28 * * * 
* * * 14 * * 17 * 19 * * * * 24 * * * 28 29 * * 32 33 * * 36 37 38 39 * * * * * * 46 * 48 49 * * 52 53 54 * 56 57 * * * * 2 * 4 * 6 7 * * * 
* * 36 * 38 * * * 42 * * * * * 48 * * * 52 53 * 55 56 57 * * 60 * * 3 4 * * 7 8 * 10 11 * 13 * 15 * 17 18 19 * 21 * * * * * * * 29 * * * * 
55 * 57 * * * * 2 3 * * 6 * * * * * * * 14 15 * 17 * * 20 21 * * * * 26 27 28 * * 31 32 * * * 36 * 38 * * * * 43 * * * 47 * * 50 51 * * * 
* * * * * * 23 24 * 26 27 28 * 30 * 32 33 * 35 36 * * * * * * * * 45 * 47 * 49 50 51 52 * * 55 * * * * 60 * * * * 5 * * 8 * 10 11 12 * * 15 * 
12 13 14 * * * * * 20 * * * * * * * * 29 * 31 * 33 34 35 * * * * * 41 * * * 45 46 * 48 49 50 51 52 53 54 55 56 57 58 59 * 1 * * * 5 * 7 * 9 10 * 
* * 24 * 26 27 * * * 31 * * 34 * * 37 * * * * 42 43 44 * * * * * * 51 52 53 * * * 57 58 * 60 * * * * * * * * * 10 11 * 13 14 15 * * * * * 21 
1 2 * * * * * * * 10 * * 13 14 * * * 18 * 20 * 22 * * * * * * * 30 * * * * 35 * * 38 39 * 41 * * * * * * * * * * * 53 54 * 56 * * 59 * 
