* 3 4 * * * * * * * * 13 * * 16 17 * * * * 22 23 24 * * * 28 29 30 * 32 33 34 * * 37 * 39 * * * * 44 * * 47 48 * 50 * * 53 * 55 * 
53 * * * * 3 4 * * 7 * 9 * * 12 * 14 15 * * * 19 20 * 22 * * 25 26 * * * 30 * * * * 35 * 37 38 * * 41 42 43 44 45 46 * * * 50 51 * 
22 23 * * * 27 * * * * * * * * 36 * * * 40 * 42 * * 45 46 * * * * * * * * 55 * 2 * * * * 7 8 * * * 12 * 14 * * * 18 19 20 * 
* 46 * 48 * * 51 * * * 55 * * * 4 * * * * * * 11 12 * * * * * * 19 20 * * * * * 26 27 28 29 30 31 * * * * * * * * * * 42 43 * 
* 29 30 * * 33 * 35 * 37 * 39 * * 42 * * * * * * * * * 52 53 * * 1 * * * * * * * * * * * * * * * 17 * * 20 21 * * * * * 27 
* * * 42 43 * * * 47 * * 50 * * * 54 55 * * * * * 6 * 8 * 10 * * * * * * 17 * 19 * 21 22 23 * * * * * * 30 * * 33 * 35 * * 38 
* 36 * 38 * * * 42 * 44 * * * 48 * * 51 52 * * * 1 * * 4 5 * 7 8 * * 11 * * * * * * * 19 20 * * 23 24 * 26 27 * * 30 * * 33 * 
25 * * 28 29 * * * * * * * 37 * * * * * * 44 * * * * 49 * 51 * * * * 1 * 3 4 5 * 7 8 9 10 * 12 13 * 15 16 * * * * * 22 * * 
* * * * * * * * * * * * * 24 25 * * 28 * 30 * * * 34 35 * * * 39 * * * 43 44 * * * * * * 51 52 * * 55 * * 3 4 * 6 * * 9 * 
17 18 19 * 21 22 * * * 26 * * 29 30 * 32 * 34 * 36 * * 39 * * 42 * * * * * 48 49 * * 52 * * * 1 * * * 5 6 * * * * * 12 * 14 15 16 
34 * * * * * * 41 * 43 44 * * * 48 49 50 51 * * 54 55 * * * 4 * 6 * * * * * * * * * 16 17 * * 20 * * * * * * * 28 * * * * * 
* 51 52 * * * * * * * * 6 * * 9 * * * 13 14 15 * * 18 19 * * * * * * 26 27 * * * 31 * * * * * * * * * * 42 * 44 * * 47 * 49 
51 * * * * * * * * * * * * * * * * * * * * * 18 19 20 * * * * 25 * 27 * 29 * * 32 * 34 * 36 37 38 * 40 41 42 * * 45 46 * 48 * * 
36 * * 39 40 * 42 * 44 * 46 * 48 * * * * * 54 55 1 * 3 * * * * * * * * * * * 15 16 17 * * * 21 * 23 * * * * * * 30 31 * * * 35 
* 14 15 * * 18 19 * * 22 * * 25 26 * * 29 * * * * * * * * * * 40 41 * 43 * 45 * 47 48 * 50 51 * * * * 1 2 3 * * * 7 * * 10 11 12 
* * 7 * * * * * 13 14 * 16 * 18 * * 21 * 23 * 25 26 27 28 * * * * * * * * * * 39 * 41 42 43 44 * 46 47 48 * 50 51 * 53 * 55 1 2 * * 
* * * * 5 * 7 * 9 * * 12 * * * * * * 19 20 * * * 24 25 26 27 * 29 * 31 32 33 * * 36 * * * * 41 * * 44 45 * * * 49 * * * 53 54 * 
* 41 42 * 44 * 46 47 * 49 * 51 52 * * 55 1 * 3 * * 6 7 * 9 * 11 * * * 15 * 17 18 * * * * * 24 * * 27 * 29 30 * 32 * * 35 * * 38 * 
43 * 45 * 47 * 49 * * 52 53 * 55 * 2 3 * * * * * * * * 12 13 14 15 * * 18 * * 21 * 23 * 25 26 27 * * 30 31 * * * * * 37 38 39 * * * 
42 * * * * * 48 49 50 * * * * * * 2 * * * * * 8 * 10 11 12 * 14 * * 17 * * 20 21 * 23 24 * 26 27 * * * 31 * 33 * 35 * 37 * 39 * * 
24 * * * * * * 31 * * 34 * * * * * * * 42 * 44 * * * * * 50 51 52 53 54 * 1 2 3 * 5 6 7 * * * * * * * * 16 17 18 * * * 22 * 
* * * 35 36 * * * * 41 * * * 45 * * * 49 50 * 52 * 54 55 * * * 4 * 6 7 * 9 * 11 * * * 15 16 * * 19 * * * 23 * * 26 * * 29 * * 
27 28 29 30 * 32 * * * 36 37 * 39 * * * * * * * 47 * 49 * 51 52 * 54 55 * * * * * 6 * 8 * * 11 12 * 14 15 * * * 19 20 * * 23 24 * * 
18 * 20 21 22 * 24 * 26 * * * * * * * * * 36 * * 39 * 41 * 43 * 45 46 * * * * * * * * * 1 * * * * * 7 * * 10 * 12 13 14 * * 17 
* 31 * * * * * 37 * 39 40 * 42 * * * * * 48 49 * * * * 54 55 * * * 4 * * * * 9 * 11 * * * 15 16 * 18 * 20 * * * * * 26 * * * 
6 * * * * 11 * * * * * * * 19 20 * * * 24 * * 27 28 29 * * * * * 35 * * * 39 40 * * * * * * * * 49 * * 52 * * * 1 2 3 * 5 
55 * 2 * 4 * 6 7 * * 10 * * 13 14 * * * * * 20 * * 23 * 25 * * * * * 31 * * * * 36 37 * 39 * * * * * * 46 47 * 49 * * * 53 * 
* * 11 * * * * * * * 19 * * * * * * 26 27 * 29 30 31 32 33 * * * * * * 40 41 * * 44 * * * * * 50 * * 53 54 * 1 * * * * * 7 * 
49 * * 52 53 * * * 2 * * * * * 8 * * 11 12 13 * * 16 17 * * 20 21 * * * * * * * 29 30 31 * * * * * * * 39 * 41 * * 44 * 46 * 48 
