* * * * * * * 68 * 70 71 * * 74 * * 77 78 * * 81 * 83 84 * * * 88 89 * * 92 93 * 95 * 97 * * 100 * * * 4 5 6 7 * * * 11 12 * * 15 * 17 18 * * * 22 23 * * * 27 * * * * * 33 34 35 * 37 * 39 * * 42 * * * * * 48 * * 51 52 * * 55 * * * 59 60 
* * * 92 * * 95 * 97 * * * 1 * * * * 6 7 * * * 11 * * * * * 17 18 * 20 * 22 23 24 * * * * 29 30 * * * * 35 36 * * 39 * 41 * * 44 * 46 47 48 49 50 * * * 54 * * * 58 * * * * * * * 66 67 68 69 * * * 73 * 75 * * 78 * * * 82 83 84 * * 87 88 
81 * * * * 86 87 88 * * * * * * 95 96 97 * * 100 * * * * 5 6 7 8 9 * 11 12 * * * * * * * 20 21 22 * 24 * 26 * 28 * 30 * 32 * * 35 * * 38 * 40 * 42 43 * * 46 * * * * * 52 * * * * * 58 * * 61 62 * * * * 67 68 * 70 * 72 * * * 76 * * 79 * 
* * 60 * * * 64 65 * * * 69 * * 72 73 74 * * * * * * 81 82 * * * * * * * 90 * * * * * 96 * 98 * * 1 * 3 * * 6 7 * * 10 * 12 * * * * * * * 20 * * * 24 * * 27 28 29 30 31 * * * 35 * * * 39 40 * 42 * * * * * * 49 * 51 * 53 * * 56 57 
* * * * * * * * * * 34 35 * * 38 39 40 * * * * * 46 * * 49 * 51 52 53 54 * * * * 59 60 61 * * * * * 67 * * * * * * * * 76 * * 79 * * * * * 85 * * * 89 90 * * * * * 96 97 * * * * * * * * * * * * * * * * * * * * * 19 * * 22 * 
29 30 31 * 33 * * 36 * * * * * 42 43 * * * 47 48 49 * * * 53 54 55 56 * * * * * * 63 * * * * * 69 70 * 72 * 74 * * 77 * 79 * * * 83 * * * 87 * * * * * 93 94 95 * * * 99 100 * 2 * 4 5 * * 8 * 10 * * * * * * * * * * * * 23 * * * * * 
69 70 71 * * * * * 77 * * 80 81 82 * * * 86 * * * * * 92 * * * 96 * 98 * 100 1 * 3 * 5 * * * * 10 * 12 13 * 15 * 17 * 19 * * * 23 * * 26 27 * * * 31 * * 34 35 * * * 39 40 * 42 43 44 45 * 47 * * 50 * * 53 54 * * * * 59 * * * 63 * 65 * * * 
* 83 * * 86 * 88 * * * * * 94 95 * * * * * * 2 * * * * 7 8 9 10 * * * * * * * * * * * 22 23 * 25 26 27 28 * 30 31 * 33 * * * * 38 * * * * * 44 * * * * * * * * 53 54 55 * * 58 * 60 * * 63 64 65 66 * * * * * * * * 75 * * * 79 * 81 
* * 97 * * * 1 * * * * * * * * 10 * * * 14 * * * * * * * * * 24 * 26 * * 29 30 31 * 33 34 35 36 37 38 * 40 * * * 44 * * * 48 * * * * 53 * * 56 * * * 60 * 62 * * * * * 68 69 * * * * * * * * 78 79 * 81 * * * 85 86 * * 89 * 91 92 93 * 
* 74 * * * * * 80 * 82 * * * * 87 88 * * 91 * 93 94 * * 97 * 99 * 1 2 * 4 5 * * 8 * * 11 * * 14 15 16 17 * 19 20 * 22 * * 25 * 27 * 29 30 * * 33 34 35 * * * 39 * 41 42 * * 45 * 47 * * * * 52 * * * * * 58 * * 61 * * * 65 * * 68 * * 71 72 
* * * * 9 * 11 12 * 14 15 * * * 19 20 21 * * * * 26 27 * * 30 * * * * * * * * * 40 41 * * * 45 * * * * * 51 * * 54 * 56 57 58 * * * 62 * * 65 66 * * 69 * 71 * * * * * 77 * * * 81 * 83 * * * 87 88 * * 91 92 * * * 96 97 * 99 * 1 2 * * 
64 * * 67 * * * 71 72 * * * * 77 78 * 80 81 82 * * * * 87 88 * 90 91 * 93 94 95 96 * 98 99 100 * * * 4 * * 7 * 9 * * 12 13 * * * 17 * 19 * 21 22 23 * * * 27 * * * * * * * * 36 37 * 39 40 41 * * 44 45 46 * * * 50 * 52 53 * 55 56 * * 59 * 61 * * 
90 91 * 93 * 95 * * 98 * 100 * * * * * * * * 9 * * * 13 * * * 17 * * * * * 23 * * * * * * * * * * 34 35 * 37 38 * * 41 * * * 45 46 47 48 * * 51 * * * 55 * * 58 59 * * * * 64 * * * * * * 71 * 73 * 75 76 * * * 80 * 82 83 * * * * * * 
* * * * * 40 41 42 43 44 45 * 47 * * 50 51 52 53 54 55 * * 58 * 60 61 62 * * 65 66 67 68 69 70 * * * 74 * 76 * 78 * 80 * 82 83 * * * * 88 89 90 91 92 93 * * * * * * 100 1 2 * * 5 * 7 * * * * 12 * 14 * * * * * 20 21 * 23 24 25 26 * 28 * * * * * 34 
97 * * * 1 * * * * 6 * * 9 * * * 13 14 * * * 18 * * * * * * * * * 28 * * * * 33 34 * 36 37 * * * * * * 44 45 * * 48 * 50 51 * * * 55 56 * * 59 * * * * 64 * * * * * * * 72 73 * * * * * * 80 81 82 * 84 * * 87 * * 90 * * * 94 * * 
20 21 * * * 25 * 27 * 29 30 * * * 34 * * * * 39 * 41 * 43 * 45 46 47 * * * 51 * * * * * * 58 * 60 61 62 63 64 * 66 * * 69 70 * * * 74 * * 77 * * 80 * 82 * * 85 86 * * * * 91 * * * 95 96 97 * 99 * 1 * 3 * * 6 7 8 9 * 11 * * * * * 17 * 19 
* * * * * 1 * 3 4 * 6 * * * 10 11 * 13 * * 16 17 * * * 21 22 * * * * 27 * * * * * * * * 36 37 * * 40 * * 43 * 45 46 * 48 * * 51 * * 54 * * * 58 * * * 62 63 64 65 * * * * * * * * * 75 76 77 * * 80 81 * 83 * * 86 * * * * 91 * * 94 95 
* * 41 42 * * * * 47 * * * * * 53 54 55 * * 58 * 60 * * * 64 * 66 * * * * * 72 73 * * * 77 * * * * 82 * * * * 87 * * 90 * * * 94 * 96 97 * 99 100 1 * 3 4 * * * * 9 * * 12 * * * * * * * 20 * * * 24 * * 27 * * 30 * 32 * 34 35 * * * 
91 * * * * * * * 99 * * 2 * * 5 6 7 8 * * * * 13 14 * 16 * * * * 21 * 23 * * 26 * * 29 * * * * 34 * 36 * * * * * * * 44 * 46 47 48 * 50 51 * * * * * 57 * * * * * 63 64 * * * * * * * * 73 * 75 * * * * * * 82 * * 85 * * * * * 
* * 43 * 45 * * * * 50 51 52 53 54 55 56 57 58 * * 61 * * * 65 66 * * * * 71 72 73 74 75 76 * * 79 80 81 82 * * 85 86 87 88 * * * 92 * 94 95 96 * 98 * * * * * * * * * 8 * * * 12 13 * * * * 18 19 * 21 * * * * * * 28 * 30 * * 33 * 35 36 37 * 39 * 
37 * 39 * 41 * 43 * 45 46 * 48 * * 51 * * * 55 * * * 59 60 * * * * * 66 67 68 69 70 * 72 * 74 * 76 * * 79 * * * 83 * 85 * * * 89 90 * 92 93 * * * * 98 99 100 1 * * * 5 * * 8 * * 11 * * * 15 16 * * 19 20 * 22 * * * * 27 28 * 30 31 * 33 34 35 36 
* 75 * 77 78 * 80 * * 83 84 85 * * * 89 * 91 * * 94 95 * * * * * * * * * 5 6 7 * 9 * * * * * * * * * * 20 21 * * * * 26 27 * * * * 32 33 * * 36 37 38 * * * * 43 * * 46 * 48 * * * * 53 54 * * * * * 60 61 * * * 65 * * 68 * * 71 72 * 
46 * * * 50 * 52 53 * * * 57 58 * 60 * 62 63 * * 66 * * 69 * * * 73 74 75 76 * 78 79 * 81 * * 84 * * * * 89 * * 92 93 * * * * 98 99 * 1 * * * 5 * * 8 * 10 * 12 13 * * * 17 18 * * * 22 * 24 * 26 27 28 * * * * * * 35 * 37 * * * 41 * * * 45 
* * 62 * * * * * * * * 71 * 73 * 75 * * * * * * 82 83 84 85 86 87 * * * * 92 93 94 95 96 97 * * * * 2 3 * * * * * * 10 * * 13 * 15 * * * * * * * * 24 * * * * * 30 * * * * 35 * * 38 * 40 41 * * 44 45 * * 48 * * * 52 53 * * * * * * 
50 * 52 * 54 * 56 * * * * * * 63 64 * * 67 68 * 70 71 * 73 * * * 77 78 79 * * 82 * 84 * * * * 89 * 91 92 * 94 * * * * * 100 * 2 * 4 * * * * * 10 * * * * * * * 18 * * * * 23 24 * * 27 * * * * * * 34 * 36 37 38 * * * * * 44 * 46 47 48 49 
* * * 43 * 45 * * 48 49 50 * 52 53 * * 56 * * * 60 * * * * * 66 * 68 * * * 72 73 * * * * * * * 81 82 * * 85 * 87 88 * * * * * * * * * * 99 * 1 * 3 * 5 * * 8 9 * * * * 14 15 * * * 19 20 * * * * 25 * 27 * * 30 31 * * 34 * 36 * 38 * 
* * * * * * 50 * 52 * 54 55 * * * * 60 * * * 64 65 * * * * 70 71 * * * * 76 * 78 * * * 82 * * 85 86 * 88 * * 91 * * * * * * 98 * 100 1 * * * * * * 8 9 10 * * 13 14 * * * 18 * 20 * * * 24 * * * 28 29 30 * * 33 * 35 36 * * * 40 41 * * 
* * * 65 * * * * 70 * 72 * 74 75 * 77 78 79 * * * * * * * * * * 90 91 * * 94 95 * 97 * 99 * * * 3 4 * * * * 9 * * * 13 * 15 * * 18 19 20 * 22 23 * 25 26 * 28 29 30 * 32 * * * * * 38 39 * * * 43 * * * * * 49 50 51 * * * * * 57 * * 60 * 
11 * 13 14 * * * * * 20 21 22 * * * * * * * * * * 33 * * 36 * * * * 41 * 43 * * * * 48 * * * 52 * * * * 57 58 59 * * 62 63 * 65 * 67 * 69 * * 72 73 * * * 77 * * 80 81 * * * * * * * * * * * 93 * * * 97 * * 100 * * * * * * * * * 10 
34 35 * * * * * 41 * * * 45 46 * * * * * * * * * * * * * * * 62 63 * 65 * 67 * * * * * * * 75 76 * * 79 * * * * 84 * 86 * * 89 * * * * * * 96 * 98 * * 1 * * 4 * * 7 * * * * * 13 * * 16 17 * 19 * * 22 * * 25 * * * 29 30 * * * 
87 88 * * * * 93 * 95 * * * 99 * * * 3 * 5 6 * * 9 10 * 12 * * * * * * 19 20 * 22 * 24 * 26 * 28 29 * 31 32 33 * * * * * 39 * * * * * * 46 * * 49 * * 52 * * * * 57 * 59 * 61 * 63 * * * 67 * 69 * * * * * * 76 77 78 79 80 * 82 83 * 85 * 
75 * * * 79 * * * 83 84 * 86 * * * * 91 * * 94 * * 97 * 99 100 * * * 4 * 6 * * * * * * 13 * * * * * * 20 21 22 23 * * 26 * 28 * * 31 * 33 34 * * * * * 40 * 42 43 44 * * * 48 49 * * * * 54 * 56 * * * * 61 62 * 64 * * 67 68 69 70 * 72 * 74 
* * * 15 16 * 18 * * 21 * 23 24 25 * * * 29 * * 32 33 * * 36 * * * * * * 43 44 * 46 47 48 * * 51 52 * * 55 * * 58 * * 61 * 63 64 * * * 68 * 70 71 * * * * 76 77 * * 80 * 82 * * * * * * * 90 * * * * * * 97 98 * * 1 * * * * * * * 9 * * 
* 23 24 * * * 28 * * * * * * * 36 37 38 39 * 41 42 * * * * * * * * 51 * * 54 55 56 * 58 59 60 * 62 * 64 * * 67 * * 70 * 72 * 74 * 76 * * * 80 * 82 83 84 * * 87 * * * 91 92 93 94 95 * * * * * 1 * * * 5 6 7 * 9 * * 12 13 14 15 * 17 18 * 20 21 
* * * * * * 77 * * 80 * * 83 84 85 * * * * * * * * * * 96 97 98 * * * * 3 4 * * * * * 10 * 12 13 14 15 16 17 18 * 20 * 22 23 24 * * * 28 * * * * * * * * * 38 * * 41 * 43 44 * * 47 * * 50 51 * 53 * * 56 * 58 * * * * * 64 65 * 67 * 69 * 
* * 10 11 * 13 14 * 16 * 18 * * * * * * * * * 28 * * * 32 * 34 * * * 38 * * * 42 * * 45 46 47 * * 50 * 52 * * 55 56 * 58 59 * * 62 * * * * 67 * 69 * * * * * * * * 78 * 80 * * 83 * * 86 * * * * 91 92 * 94 * * 97 * 99 100 1 * * * * * * 
* * 34 * * * * * 40 * * * * * * * 48 * * * 52 * * 55 * * * * * 61 62 * * 65 * * 68 * * * * 73 * * * * 78 79 * * * * 84 85 * * * * * 91 92 * 94 * * 97 * 99 * 1 * * * 5 * * 8 * 10 11 12 * * * 16 * 18 19 20 21 * * 24 * * * 28 * 30 * 
* * * * * * 22 * * 25 26 * 28 29 30 * * * 34 * * 37 38 * * * 42 * * 45 * 47 * * 50 * * 53 * 55 56 57 58 59 * * * * 64 65 66 67 * * * * * * * * * 77 78 * 80 * * * * * * 87 * 89 * * * * * * * 97 98 99 100 1 2 * 4 * 6 * * * * 11 * * * * 
49 * 51 * * * * * * * * * 61 * * 64 65 66 * * 69 70 71 * 73 74 * * 77 78 * 80 * * * * * 86 87 88 * * 91 * * * * * * * 99 100 * 2 3 * * * 7 * 9 * * * * 14 * * * 18 * 20 21 22 23 * 25 * * 28 * * * * 33 34 * 36 37 * * * 41 * 43 * * 46 * * 
* * * * * 18 19 20 * * 23 * * 26 27 * * * 31 * * * 35 36 37 38 * 40 * 42 43 * * * * 48 49 * * * 53 * * 56 57 58 59 * * * * 64 * 66 * 68 * 70 * 72 73 * 75 * 77 * 79 * * * * * * * 87 * * * 91 92 * 94 * * * 98 * 100 * * 3 * * 6 * 8 9 10 * 12 
10 * * 13 * * 16 * * * 20 * 22 * 24 * * * * * 30 * * * * * 36 37 38 * * 41 * * * 45 * 47 48 49 * * * 53 54 55 * 57 * * * * 62 * * * 66 * 68 69 * 71 * * 74 * * 77 * * 80 81 * * * 85 * * 88 * 90 91 * 93 * 95 * 97 98 * 100 * * * * * * * * 9 
* * * 54 55 * * 58 * * 61 62 63 64 65 66 * * * 70 * 72 * * * 76 77 * 79 * * * * 84 85 * * * * * * * * * * * * * * * * 2 * 4 * * 7 * * * * 12 13 14 * * * 18 19 * * * 23 * 25 * * * * * * 32 33 34 * * 37 * * * * * * * * * * * * * 
* * 8 * * * 12 * * 15 16 17 * 19 20 * 22 23 * * 26 27 * * * * * * * * 36 * 38 39 40 * 42 * * 45 * * * * 50 51 * * * * * * * * * * 62 * * * 66 * * 69 * * * * 74 * 76 77 78 * * * 82 83 * 85 * 87 * 89 * 91 * * * 95 * * 98 99 * * * * * * 
* * * * * * * 21 * 23 * * * * 28 * 30 * * 33 34 * * * * 39 40 * 42 43 * 45 46 * * 49 * * 52 53 * 55 * * * * 60 * * * 64 * * 67 * * * * * 73 * * * 77 * * 80 81 * 83 * 85 86 * * * 90 * * * * 95 96 * * 99 * * * * * 5 * * * * 10 * * * 
28 29 * 31 32 * 34 * * 37 38 39 40 * * * 44 45 * 47 * 49 * * * 53 * * * 57 * * * * * * * 65 66 67 * 69 70 * 72 * * 75 76 * 78 * * * * * * * * * * * 90 91 92 93 * * * 97 * 99 100 * 2 * 4 * * * * * 10 * * * * 15 * * * * 20 21 22 23 * * 26 * 
1 2 * * * 6 * * * 10 11 * * 14 * * * * * * 21 * 23 * 25 26 27 28 * * 31 * * * * * 37 38 * * * 42 * * * 46 47 * * * * 52 * * * * * 58 * 60 61 * * * * 66 * * 69 * * 72 * 74 75 76 * * * 80 * * * * * 86 87 * * 90 91 * * * * * 97 * 99 100 
79 * 81 * * * 85 * * 88 89 90 91 92 * * * * * 98 99 * 1 2 * 4 * * 7 8 * 10 * 12 * * 15 * * * 19 20 21 * * * * 26 * * 29 * 31 * * * * 36 * * 39 * 41 * 43 * * * * 48 * 50 51 52 * 54 * * * * 59 * * 62 * * * 66 * 68 * * * 72 * 74 * * * * 
* * * 96 * * * * * * * * * 6 * * 9 10 11 12 13 * * * * 18 * * 21 22 * * * * 27 28 * 30 * 32 * 34 * 36 37 * 39 40 * * * * * * * * * 50 * * 53 * 55 * 57 58 * * * 62 * 64 * * * 68 69 * * 72 * * * * * * * * 81 * 83 * * * * * * 90 * * 
98 * * * 2 * * 5 6 7 * * * 11 12 13 * * * 17 * * 20 * * 23 * 25 * 27 * * 30 31 32 33 34 * * * * * 40 41 42 * * * 46 47 * * 50 * * * 54 55 * * 58 59 60 * * * 64 * 66 * 68 * * 71 * * * * * 77 78 79 * * * * 84 * 86 87 88 * 90 91 * 93 94 * * * 
* * * 75 * * * 79 80 81 * * * * * 87 * 89 * * 92 * * 95 * 97 * 99 * 1 2 * * * * 7 8 * * * * * * 15 * * 18 * 20 * * 23 * * * 27 * * 30 * * 33 * 35 36 37 * * * * * * * 45 46 * * 49 * 51 * * * * 56 * 58 59 * * * * * 65 66 67 * * 70 71 
* * * * * 23 * 25 * 27 * 29 * * * 33 34 35 * * * 39 * 41 * * 44 * * * * * * * * 53 54 * 56 * 58 * * 61 * 63 * * * 67 * 69 70 71 72 73 74 * * * * * * * * * * * 86 * * 89 * 91 92 * 94 * * * * 99 * * 2 3 4 * * 7 * * 10 * * * * * * 17 
80 * * * 84 * * 87 * * 90 91 92 93 * * * 97 * 99 100 1 2 * 4 * * * * 9 * * * * * 15 * 17 * 19 * 21 22 * * 25 * * * 29 30 * 32 * * * * * * 39 * * 42 43 44 * 46 * 48 * * * * 53 * 55 56 57 58 * 60 * 62 63 64 65 66 67 68 * 70 * 72 * * 75 76 * * * 
38 39 40 * * * 44 45 * 47 48 * * * * * 54 55 56 * * * 60 61 62 * * * * * * * * * 72 * * * 76 77 78 79 * 81 * * * * * * * * * * 92 93 * * * * * * * 1 2 3 4 * * 7 * 9 10 * * * * 15 * * 18 * 20 21 * 23 24 25 * * * 29 * 31 32 * * * 36 37 
17 18 * * * 22 23 24 * * * * * 30 * * * * * * * 38 39 40 * 42 43 44 * * 47 * 49 50 * * 53 * * 56 * * * * 61 62 * * * 66 67 68 * * 71 72 73 74 75 * * 78 79 80 * 82 * * 85 * * * 89 90 * * 93 * * * * * * 100 1 * * 4 * * * * * * * 12 * 14 * 16 
54 55 * * * * 60 * 62 * * 65 * 67 * * * * 72 73 * * * * * * * * * * 84 85 86 * 88 * * * * * 94 * 96 * 98 99 * * * * * * * * * * * 11 * 13 14 * * * 18 19 * * 22 23 * 25 * * * * 30 * * * * * * * * * * * * 43 * * * 47 * * * * * 53 
78 * 80 * 82 * * 85 * * 88 * * * * * * * * 97 * * * * * 3 4 * 6 * * * 10 * 12 * * * * * * 19 20 * 22 23 24 * * * * * 30 * * * * * * * * * * * * * * 45 * * * 49 50 * * * 54 * 56 * * 59 * * * * 64 * 66 * * * * * 72 73 * * * * 
* 27 * * 30 31 32 33 34 35 * * * * 40 41 * 43 * 45 * * 48 * * * * * 54 55 * * * * * 61 62 * 64 * * 67 68 69 * * 72 * * * 76 * * * * * 82 83 84 * * * * * 90 91 92 * * 95 * * 98 * * 1 2 3 4 * * * * * 10 * 12 * * 15 * 17 * * 20 * * 23 24 25 
99 * * * 3 * * 6 * * * * 11 * * 14 * * 17 * 19 * * * * * * 26 * * * * * 32 * * * * 37 38 * * * * * * 45 46 * * 49 * 51 * * 54 * * * * * * * 62 63 64 65 66 * * * * 71 * 73 74 * * 77 * * 80 * * 83 * 85 86 * * * 90 * 92 93 94 * * * 98 
48 49 * * 52 * * * * * * * * 61 62 * * * 66 67 * 69 70 * * * * * * 77 * 79 * 81 82 83 * * 86 * 88 * * 91 * 93 * * * * 98 99 * * * * 4 * 6 7 * * * 11 12 * 14 * 16 * * * 20 * * 23 * 25 * * 28 29 * * 32 * * * 36 * * 39 40 41 * * * 45 46 * 
30 * 32 * * * * * * * * * * * * * * * * * 50 * 52 * * * 56 * * * 60 * * * * * 66 * * * * 71 72 * * 75 * * * 79 80 * * * * 85 * 87 * * 90 * 92 * * 95 * * 98 * * * * * * 5 * * * * * 11 * * 14 15 16 * * * 20 21 * 23 24 * 26 * * * 
