62 63 * * * * 68 69 * * * * 74 75 * 2 3 * 5 6 7 8 * * * * * 14 15 16 17 * 19 * 21 * * * * * * * 29 * 31 * 33 34 * 36 * * 39 * * * 43 * 45 * 47 * * 50 51 * 53 54 * 56 * * * 60 * 
* * * 29 * * * 33 34 * * 37 38 39 * * * * 44 * 46 * * 49 * * * * 54 * * 57 58 * 60 61 62 * 64 * * 67 * 69 70 * 72 * * * * * * * 5 * * * 9 10 11 12 13 * * * 17 18 * * * 22 * 24 * 
* * * * * * * * 73 * * * * * 4 * * * * * * * 12 13 * * * * 18 * * * 22 23 * * 26 * * * * * * * * 35 36 * * * * * * * * * * 47 48 * 50 * 52 * 54 55 * * * 59 * * * 63 * 
* 55 * * 58 59 * * 62 * 64 * * * 68 69 * * 72 * * * * * 3 4 * * * * * 10 * * 13 * * 16 * * 19 * * * * * * 26 * * * * * 32 33 34 35 36 * * * * 41 42 * * * * * * 49 * * * * 
* * * 10 * * * * 15 * * * * * * 22 23 * 25 26 * * 29 * 31 * * * * * * * * * 41 * 43 44 45 46 * * * * * * * * 55 56 * * 59 * 61 62 * 64 * * * * * * 71 72 73 * 75 * * * 4 5 * 
21 * * * 25 * 27 * * * 31 * * 34 35 36 * * * 40 * * * 44 45 * * 48 * 50 * * 53 * * * * * 59 60 61 * * * * * * 68 * * * * * * 75 * 2 * * * 6 * * 9 * * 12 * * * 16 17 * * * 
57 * * * 61 * * 64 65 * * * 69 70 * * 73 * * * 2 * * 5 * * 8 * 10 * * 13 * * 16 17 * * 20 21 22 * 24 * 26 27 * 29 30 31 * * * 35 36 37 38 39 * 41 42 43 * * * * 48 * * * * * 54 * 56 
* * * * 45 * * * 49 50 * 52 53 * * * 57 * 59 60 61 * * * * * * 68 * * 71 72 73 * 75 * * * * 5 * * 8 9 * 11 * 13 14 * 16 * 18 * * * 22 * 24 * * * 28 * 30 31 32 33 * * * 37 38 * * 
* * * * * * * 67 68 * * 71 * * * * 1 * * 4 * * 7 * * * * * * * 15 * 17 * * * * * * 24 * * * * * 30 * * 33 34 35 * * * 39 * * * * 44 45 * 47 * 49 * * 52 53 54 * 56 57 * * 
* * 16 17 18 * 20 * * * * * * * * 29 * * * 33 * * 36 37 38 * * 41 * 43 * 45 * * * 49 50 * * * * 55 56 * * * * 61 * * * * * 67 * 69 * * * 73 74 * 1 2 3 * 5 6 * * 9 * 11 12 * 
29 30 * 32 33 * 35 36 * * * 40 * * * 44 45 46 * * 49 * 51 * 53 * 55 * * * 59 60 * 62 * 64 65 * 67 68 * 70 * 72 * * 75 1 2 * 4 5 * 7 * * 10 * * * * * * 17 * 19 20 * * * * * 26 27 28 
* * * 15 16 * * * * * 22 * 24 25 26 * * 29 * * * * 34 35 36 * 38 39 * * * 43 * * * * 48 49 50 * * * * * 56 57 58 * 60 * 62 * * * * * 68 69 70 * * * 74 75 * 2 * 4 * * 7 * 9 * * 
* * * * * * 43 44 45 * * * 49 * * 52 53 * * * 57 58 * * * 62 * * * * 67 * 69 * 71 72 73 * * 1 * 3 4 5 * 7 8 * * * * * * * 16 * * 19 * * 22 23 * * 26 * * * * * * 33 34 * * 
* * 12 * * * * * 18 * 20 * 22 * * * 26 27 28 * 30 31 * 33 * * * * 38 * * 41 42 43 * * * * 48 49 * * 52 53 * * 56 57 58 * 60 61 * 63 * * * * 68 * 70 * * 73 * * 1 * * 4 * * * 8 9 
* * * 51 52 53 * * 56 * 58 59 60 61 62 * * * * * * * 70 * * * * * * * * * * * * 8 * * * 12 * 14 * * 17 * 19 * 21 22 * * 25 26 * * * * 31 32 33 * 35 36 * * * 40 * * * * * * 47 
15 16 * * * 20 21 * 23 * * * * 28 * 30 31 32 33 34 * * 37 38 * * 41 * * 44 * * 47 * * 50 * * * * * 56 * * 59 * 61 * * * * 66 * 68 * 70 * * 73 * * 1 2 * 4 * * * * * * * * * * 
* * * 6 * * 9 * * * 13 * * * * * * 20 21 * * * 25 26 27 * * 30 31 * 33 * * 36 * * 39 * 41 * * 44 * * 47 48 * 50 51 * * * * * * * * 60 * * 63 64 * 66 67 68 69 * 71 72 * 74 * * * 
53 * * 56 * * * * 61 * 63 * 65 * * * * * 71 * 73 * * * * * * * * * * * 10 * 12 13 * 15 16 17 * 19 * * * 23 * 25 * * * 29 30 * * 33 * 35 36 * * * 40 41 42 * * * * * * * * * * 
69 * * * * 74 * * 2 * * 5 6 7 8 * 10 * 12 * * 15 * * 18 * * * * 23 * * * * 28 * 30 * 32 * * * 36 * * * 40 * 42 43 * * * * * * * 51 52 * * * 56 * 58 * 60 * 62 63 64 65 * * * 
45 * * * * 50 * * * 54 55 56 * * * * * 62 * * * 66 * 68 * 70 71 72 73 74 75 * * * 4 * * 7 * * 10 11 * * 14 * * * 18 * * * * * * * * * 28 29 30 * * 33 * * * * * * * * 42 * * 
* 60 * * * 64 * * * 68 * * 71 * 73 74 75 * * * 4 * * 7 * * * * 12 * 14 * * * * * * * * * * 25 * * * * * 31 32 * 34 35 * * * * * * * * * * * * * * * 51 52 53 54 * * * 58 
70 71 * * 74 * * * * 4 * 6 * 8 * * 11 * * 14 * 16 * 18 * * * 22 * 24 25 26 27 28 * * 31 * 33 * * * * * * 40 * 42 43 * * * 47 48 * 50 * * 53 * * * 57 * * * * * * * 65 66 * * * 
* * * 38 39 * * * * 44 45 46 * 48 * 50 51 52 53 * * * * * * * 61 62 * * * 66 * * 69 70 * 72 * 74 75 * * 3 4 * * * * 9 10 * * * 14 * 16 * * * * 21 22 * 24 * * * 28 * * * 32 33 * 
* 26 27 28 * * * * * * * 36 * * * * * 42 * 44 45 46 * * * * * * * * * 56 57 * * 60 61 62 63 * * * 67 * * 70 * 72 * * * * * * * * 6 * * 9 10 * 12 13 * * 16 * * 19 * * * 23 * 
* * 68 * * 71 * 73 * * * 2 * * * * * * 9 10 11 12 13 14 15 * * * * 20 * * 23 24 * * 27 28 * * * * 33 34 * 36 * * 39 * * * * * 45 * 47 * 49 50 * * * * 55 * * * * * 61 62 * * * 
* 75 * * 3 * * * * 8 * * * * 13 * * * * * * * * 22 * * * * * 28 29 * 31 32 33 34 * 36 37 38 39 * * * * * 45 * * 48 * * * * * 54 55 56 * 58 * 60 * 62 * * * 66 * 68 69 70 * * * 
34 35 * 37 38 39 * 41 42 43 * 45 * * * 49 * * * 53 54 * * * * * * 61 * * 64 * 66 67 * * * * * 73 74 75 1 * * * 5 * 7 8 * 10 * 12 * * 15 * * 18 * 20 * * * 24 25 26 * 28 29 * * 32 * 
50 51 * * * * 56 57 * 59 * * * 63 * 65 * * 68 * * * * 73 * * * * * 4 5 6 7 * 9 10 * * * * * 16 * 18 * * * 22 * * * * * 28 * * 31 32 * * * 36 37 38 39 * * * * * * * * * * 
* * * * * * 57 * 59 * 61 * 63 * * * 67 * * * 71 * 73 * * * * * * * 6 * * 9 * * * 13 14 * * * * 19 * 21 * * * * * 27 * 29 * 31 32 33 * * 36 * * * * 41 * * 44 45 46 * * * * 
36 * 38 39 * 41 * 43 * * * 47 48 * 50 * * 53 54 * 56 * 58 * 60 * * * * 65 * * * * * * * 73 * * * * * * * * * * 9 * 11 12 * * 15 16 * 18 19 * * * 23 24 * * * 28 * 30 * 32 33 34 * 
* 65 * * * 69 * * 72 * 74 75 1 2 * * * * * 8 9 10 * * 13 14 15 * 17 18 19 * * 22 23 * 25 * * * * * 31 * * * * * * * 39 40 * * * 44 * * * * * * 51 * * * * 56 57 * * * * * * 
* 6 * * * * * * 13 * 15 16 17 * 19 * 21 * * * * * * 28 * * * 32 * 34 35 * * 38 39 * * * * * 45 46 * 48 * * 51 * * 54 * * * * * * 61 62 63 64 * * * 68 * * 71 72 * * * * * 3 4 
* 2 3 4 * * * * 9 * * * * * 15 16 * * * 20 * 22 * 24 * * * * 29 * * * 33 34 * * 37 * 39 * 41 42 * 44 45 * * 48 * * 51 * * 54 55 * * * 59 60 61 * * * 65 66 * * 69 70 71 * * 74 * 
* 72 * 74 * * * * * * * * * * * * * 13 * * 16 * * * 20 * 22 * 24 * * 27 * * * 31 32 * * * * * * * * * 42 * * * * * 48 * * * 52 53 * 55 * 57 * * 60 * * * 64 * * * * * * 
* 44 45 * * * * * * * * * 55 56 * * * * * 62 63 * * 66 67 * 69 * * 72 * * * * 2 * 4 5 6 * * * * 11 * 13 14 * * * 18 19 * * * 23 * * * 27 28 * 30 31 * * 34 * 36 * 38 * * * * 
* 43 44 * * 47 * * * * * 53 54 * * 57 58 59 * 61 * * * * 66 * * * * * 72 * * * 1 2 * * * * * * * 10 * * 13 * * * * 18 19 * * 22 * 24 * * 27 28 29 * 31 32 * * 35 * 37 * * * 41 
* * 75 * 2 3 4 * * 7 8 * 10 * * 13 14 15 16 * * * * * 22 * * * * * * * 30 31 * * * * * 37 * * * 41 * 43 * * * * * * * 51 * 53 * * * * 58 * 60 * * * * * * 67 * * * 71 72 
* * * * * * 38 39 40 * * 43 * * * * * 49 * 51 52 53 * * * * * * 60 * 62 * 64 * * * * 69 70 * 72 * * * 1 2 3 * * * 7 8 9 10 * 12 13 14 * * 17 * 19 * * * * 24 * 26 * * * * 31 
27 28 * * * * * 34 * 36 * * 39 * * 42 * 44 * 46 47 * 49 50 * * * 54 * * * 58 59 * * * * 64 * * 67 * 69 70 * * 73 * 75 * 2 * * * * 7 * * * 11 * * * * * * * * * * * * * 25 * 
* * 20 * * * 24 25 * * 28 * 30 * 32 33 * 35 36 37 * * 40 * * * * 45 * * * * * * * * * * * * * 59 * 61 * * * 65 * 67 68 69 70 * 72 * * * * * 3 * 5 * * * * * * 12 13 * * 16 * 
* 31 32 * * * 36 * * * * * * * 44 * * * 48 * * * * 53 * 55 * * * * * * * * 64 * 66 * 68 * * 71 72 * * * * 2 * * * * * * 9 * 11 * * 14 15 * * * 19 * * * * * 25 * * 28 29 
6 7 * * 10 11 * 13 14 * 16 * 18 19 20 21 * 23 * 25 26 * * * * 31 32 33 34 * * * * * * * * 43 * * * * 48 49 50 51 * * 54 * * 57 58 * * * * 63 64 * * 67 * * * 71 * * * 75 * 2 3 4 5 
* 56 * 58 59 60 61 62 * * * 66 67 68 69 70 71 * 73 * * 1 * * * * 6 * * * * * * * * * * * * * * 21 * 23 * * * * * * * * * 33 34 * * * * 39 * 41 * 43 * 45 * * * * * * 52 * * 
* 10 * * * * 15 16 * 18 * 20 * 22 * * * * * * * * * * * 34 * 36 * * * 40 41 * * * 45 * * * 49 50 * 52 * * 55 56 57 58 59 60 * * * * * * * 68 * 70 * * * * * 1 2 * 4 5 6 * * 
* * * * * * * * 71 * * * * 1 * * * * * 7 * * * 11 * 13 * * * * 18 * * 21 * * * * 26 27 * 29 30 31 * 33 * * * * * * * * * * 44 * * * 48 49 * 51 * * * 55 56 57 * * * 61 * 
* * * 34 * * * 38 * 40 41 42 * * * * 47 48 49 * * * 53 * 55 * 57 * * 60 * * 63 * * * * * * 70 * * 73 74 75 1 2 * 4 5 6 7 8 * * 11 12 13 * * 16 * * 19 20 * 22 23 24 25 * 27 28 * * 
* * * 26 * * * * * * * 34 * * * * 39 * 41 42 43 * * 46 * * * * * 52 * 54 * 56 * * 59 60 * 62 63 * 65 * 67 * 69 70 * 72 73 74 75 1 2 * * * 6 7 8 * * * * 13 14 * 16 17 * 19 20 * 22 
* * * * * 24 25 * * * * * 31 * * 34 * * * * 39 * * 42 43 * * * * 48 * * * 52 53 * * * * 58 * 60 61 * 63 64 * * * * * * * 72 73 * * * 2 * 4 5 * * 8 9 10 * * * 14 15 16 17 18 
28 29 * * * * 34 35 36 * * * * * 42 43 44 * 46 47 * * 50 * * * * * 56 57 * 59 * 61 * * 64 65 66 * * * 70 71 * 73 74 * 1 * * 4 * 6 * * * * 11 * * * * 16 17 * * * 21 22 * * 25 * * 
16 17 * * 20 21 22 23 * * 26 * * 29 * 31 * * 34 * 36 * 38 * * * * * 44 45 * * 48 * 50 * * 53 54 * * * * * 60 * 62 63 * 65 * * * * 70 * 72 * 74 75 1 * * * 5 6 * * * * * 12 * 14 * 
* 73 74 75 * * 3 4 * * 7 8 9 * 11 * 13 14 * * * * * * * * * * * * * 28 29 * * * 33 * * 36 37 * 39 * * * * 44 * * * * * * 51 * * 54 * 56 * * 59 * * * * * 65 66 * * 69 70 * 
2 * * * * * 8 * * * 12 * 14 * * 17 18 19 20 * 22 23 24 25 * * 28 * * 31 * * * 35 * * * 39 * 41 * * * * * * * * * * 52 * * * * * * 59 60 * * 63 64 65 * * 68 * * 71 * 73 74 75 1 
* 68 * * * * 73 * * * * 3 * * * 7 8 * * 11 * * * * 16 * 18 * * * 22 * * * * 27 * * 30 * * * * 35 * 37 * * * * 42 43 * 45 * 47 * * 50 * 52 53 54 * * * * * 60 * 62 63 * * * 
* 14 * 16 * * * * * * * 24 25 * * 28 * 30 31 * * * * 36 37 * 39 * * * * 44 * 46 * * * * * 52 53 * * * * * * 60 * 62 * 64 * 66 * * * * 71 * 73 * * * * * * * * 7 * * * * * 
4 5 6 7 8 * 10 11 12 * * * * * * 19 * 21 * * * * * 27 * * 30 * * 33 * 35 36 * * * * 41 42 43 44 * * 47 * * 50 51 * * * * * * 58 59 * * * 63 * 65 66 67 * 69 70 71 * 73 * 75 1 2 * 
* * 13 14 * * 17 18 19 * * 22 * * 25 26 * 28 * 30 31 * 33 34 * 36 * 38 * * * * 43 * 45 * * * 49 * * * * 54 * * 57 58 * * * 62 * 64 * * * 68 * * * * * * 75 * * * 4 * * * * * * 
49 * * * * 54 * 56 57 58 59 * 61 62 * 64 * * * * * * * * 73 * * * 2 3 * 5 6 * * * * 11 * * 14 * * * * * * * * * * * * * * 29 * * * * 34 * * * 38 39 * * * * * * * * * 
* 53 * * * 57 58 * 60 61 * * 64 65 66 * * * * 71 72 * * * * 2 3 4 * 6 7 * 9 * * 12 * 14 * 16 * * * * 21 * 23 24 * * 27 28 * * 31 * 33 * 35 36 * 38 * * * * 43 44 45 46 47 * * * * 
22 * 24 * * * * 29 * 31 * 33 * 35 36 * 38 * 40 41 42 * * * * * * * 50 51 * * * 55 * 57 58 59 * * * * 64 65 * 67 68 * 70 71 * 73 74 75 * * * * * 6 * * * 10 11 * 13 * 15 16 * 18 19 * 21 
* 40 * * * 44 * 46 47 * * * 51 * 53 * 55 56 * * 59 60 * * 63 64 * * 67 68 * * * * * 74 * 1 * * * 5 6 7 8 9 * 11 * * 14 15 * * 18 19 * * * 23 * * * * * 29 * 31 * 33 34 * 36 37 * 
* * * * * 45 46 47 * * * * * * * * * * 58 59 * * * * * 65 * * * * 70 71 * 73 74 75 * * 3 * * 6 * 8 9 10 11 12 13 * * 16 * * * * 21 22 * * 25 26 * * 29 * * * 33 * * 36 * * 39 
47 * * * * 52 53 * 55 * * * * * 61 * * 64 * * * * * * * * 73 * 75 * 2 3 4 * * * 8 * * 11 * * * 15 * 17 18 19 * * * 23 * * * * * 29 * * 32 * 34 * * * * 39 * * 42 * 44 * * 
* * 26 * 28 29 * 31 32 33 * 35 * 37 * * * 41 42 43 * 45 * 47 * * * * * 53 * * * * * * * * 62 63 * 65 66 * * 69 * * * * 74 * 1 * * * 5 6 * 8 9 10 * 12 13 * * 16 17 * * * 21 * * 
* * * * * 22 23 * * * * 28 * * 31 32 * * * * * 38 * * * * * 44 * * 47 48 49 50 * * 53 54 55 56 * * 59 60 * * * * * * * * * * * 72 * * 75 * * * 4 5 * 7 * * * 11 * * * * * 
* * 70 * * * 74 * 1 * * 4 * 6 * * * * 11 * 13 * * * 17 * * 20 21 22 * * 25 * * * * * * * 33 34 35 * 37 * 39 * 41 * 43 * * * * 48 * * * * 53 * * * * * * 60 * 62 63 * * 66 67 
