61 * 63 64 65 * * * * * 71 72 * * * * * * 79 * * 82 83 84 * 86 87 * * * 1 * * * * 6 * * * * 11 * 13 * * * 17 * * 20 * * * * 25 * * * * * * 32 * * * * 37 * * 40 41 42 * * 45 46 47 48 * 50 * * * 54 55 56 57 58 * * 
* * * * * * * 3 * * 6 7 8 * 10 * 12 * * * * * 18 19 * * * * * * * * * 29 * 31 * * * * * * * 39 * * 42 * * * * * 48 * * 51 52 * * * * 57 58 59 60 61 * * 64 * * 67 68 69 * * * 73 74 75 76 77 * * * * 82 * 84 * 
* * 38 * * * * * 44 * * * 48 49 * * 52 53 * 55 56 57 58 * * * * * * 65 66 * * * * * 72 73 74 * * * 78 79 80 81 * 83 84 85 * 87 * 89 90 * * * * * * * * * * 11 12 * * * * 17 * * 20 21 22 * * 25 26 * * 29 30 * * * 34 * 
* 54 * * * * * * 61 * 63 64 * * 67 * 69 * 71 * * 74 * * 77 78 * * * 82 * * * 86 * 88 * 90 * * * 4 * * * * 9 * 11 12 * 14 * 16 * * * * 21 22 23 * * 26 27 * * * 31 * * * * * 37 38 39 * * * 43 44 * * 47 * * 50 * * 
85 86 87 * * 90 * * * 4 5 6 7 8 9 10 * 12 * * * * * * 19 20 21 22 * 24 * * * * * 30 31 32 * * * 36 37 38 * * * * 43 44 * * 47 * 49 * * 52 * * 55 * * * * * * 62 63 64 * 66 * * * 70 * * * * * * 77 78 * * 81 * 83 84 
* * * 5 6 * 8 9 * * * * 14 15 16 * * 19 * 21 22 23 24 25 * * 28 * * * 32 * * * 36 * * * 40 * 42 * * * * 47 48 49 * 51 52 * * 55 * * 58 59 60 61 62 * * 65 * * 68 69 * 71 72 * * * * * 78 * * 81 * * * * 86 * * * * * 
* 16 17 18 * * * * * * 25 * 27 * * * 31 32 * * 35 * * * 39 * * 42 * * 45 * * * * 50 * * * * * * * * * * * 62 63 64 65 66 * * 69 * * 72 73 * * * * 78 * 80 * * 83 * * * * * * 90 * 2 * * * 6 * * * 10 * 12 13 14 
* 60 * * * * 65 * * * 69 70 * 72 * * 75 76 77 78 * * * * 83 * * * * * * 90 1 2 3 * * * 7 * * * 11 12 * * * * * * * * * 22 * * 25 * * * * * * * * 34 35 * * 38 39 * * * * * 45 * * * 49 * * * * * * * * 58 
* * 5 * * * * * * * 13 * 15 * * * * * 21 * * * 25 26 * * 29 30 * * * 34 * * * * * 40 * * * * * * 47 * * * 51 * 53 * * 56 * * * * 61 62 * 64 65 * * * * * * * * 74 * * * 78 79 80 * * * * * * 87 * * * 1 2 
52 * 54 * * * * * 60 * * * * * * * 68 69 * * * * * 75 * * * 79 80 * * 83 * 85 86 87 * * * * * 3 * * 6 * * 9 * 11 12 * 14 * * * 18 * 20 21 * * 24 25 26 * 28 * * * * 33 * 35 * * 38 39 40 * * 43 * * 46 * * 49 * 51 
68 * 70 * * * 74 * * 77 * * * * * * 84 85 86 87 * 89 * 1 * * * * * * * * * * * 13 * * 16 * * * * * 22 * * * * 27 28 29 * 31 * * 34 * * 37 * * 40 41 42 * * * * 47 48 49 * 51 52 * * * * * * 59 * 61 62 * * * * * 
76 * 78 * 80 * 82 83 * * 86 87 88 * * * 2 3 4 * 6 * * * 10 * * 13 14 15 * * * * 20 * 22 * * 25 * * * * * 31 * 33 * * * * * 39 * 41 42 * * * 46 * 48 * 50 51 * * 54 55 56 * * * 60 * * * 64 65 66 67 * 69 70 * 72 73 74 * 
* 34 * 36 * 38 * * 41 * * * 45 * 47 * * 50 51 * * * * * * * * 60 * * * * 65 * * 68 * 70 71 72 * 74 * 76 77 * * 80 * 82 * * * 86 87 * * 90 * * * * * 6 7 8 * * * * * 14 15 * * 18 19 * * * * 24 * 26 * * * * 31 * 
31 32 33 * * * * 38 39 40 * * 43 * * 46 47 * 49 * * * * * * * * * * * * * * * * 66 67 * * 70 * * * * * * 77 * 79 * 81 82 83 * * * 87 88 * 90 * * * * * * * 8 9 10 * * 13 * * 16 * * * * * * 23 24 * 26 27 * * * 
* * * 50 * * * 54 * 56 * * * 60 * * * * * * 67 68 69 70 * 72 * 74 * 76 * 78 * * 81 * * 84 * * * * * 90 * * 3 * 5 * 7 8 * * * * * 14 * 16 * * * * * 22 * * * * * 28 * 30 * * * * 35 * 37 38 * * 41 * 43 * 45 * 
4 * 6 7 * * 10 11 * * 14 15 * * * 19 * * 22 * * * * * * * 30 * * * * * 36 * 38 * * 41 * * 44 45 * 47 48 * 50 * 52 * * * * 57 * * 60 61 * * * * * 67 68 * * 71 * * * 75 76 * * * 80 * * * * * 86 * 88 89 90 * * * 
89 90 * 2 * * 5 * 7 8 9 * 11 12 13 * 15 * * 18 19 * 21 22 * * 25 * * * * * * * * * 35 36 * 38 * * * 42 * 44 * * * * 49 * * * * 54 * * * * * 60 61 62 * 64 * 66 67 68 69 * 71 * * * * 76 77 * * * * * 83 * 85 * 87 88 
81 * * 84 * * * * 89 90 1 2 3 * 5 6 * * * * * 12 * 14 * * * 18 19 * * 22 * 24 * * * 28 29 30 * * * * * * * 38 * * * * * * * 46 * * * * * 52 * 54 * 56 * * * 60 * 62 * 64 * 66 * * 69 70 71 72 * 74 75 * * * 79 80 
58 * * * 62 63 64 * * * 68 * * * 72 73 * 75 * * * * * * * * * * * * 88 * 90 * * * * 5 6 * * 9 10 11 * * * 15 * * 18 * * 21 22 * * 25 * * * 29 30 * * 33 * * * * * * 40 * * * 44 * 46 * * * 50 51 * * * * 56 * 
24 * * * * 29 30 * * * 34 * * 37 * * * * * 43 * * * * 48 * * * 52 * 54 55 * * 58 * * * * 63 64 * * 67 * * * 71 * * * 75 76 77 78 79 * * * * * * * 87 * * 90 * * 3 4 * 6 * * * * * * * 14 * 16 * * * 20 21 22 23 
* 30 * * * * 35 36 * * * * 41 * 43 44 * 46 * * * 50 * 52 53 54 * * 57 * * * * * * * 65 * * 68 * * 71 * 73 74 * 76 77 78 * 80 81 * * * 85 * 87 88 89 90 1 2 * 4 5 * 7 8 * * * 12 * 14 * 16 * 18 * 20 21 * * 24 * 26 * * 
69 * * * * * * * * * * * 81 * * * * * * 88 * * 1 * * * * * 7 8 9 10 * 12 * * * 16 * * 19 * * 22 * * * * * * * * 31 * 33 34 * 36 37 * * 40 * * * * * * 47 48 49 * * 52 53 54 * 56 57 * * * * * 63 64 * 66 * 68 
82 * 84 85 * * * * 90 * * * * 5 * * * * 10 * * * 14 15 * * * * * * * * * * * * 28 * * * * 33 34 * * 37 * * 40 * 42 43 44 * * * 48 49 * * 52 53 54 55 * * 58 * * * 62 * * * * * 68 69 * 71 72 * * * * 77 * * 80 * 
* * * * * 32 33 * * * * 38 * * * * * 44 45 * * * * 50 * * * 54 * * * * * * * * 63 * * 66 * * * * * * * * * * * * 79 80 81 * * * * * 87 88 * 90 1 2 3 * 5 * * * 9 * * * 13 * * 16 * * 19 * * * * 24 25 26 
73 * * * * * 79 80 * 82 * * * * 87 88 89 * * 2 3 4 5 * 7 8 * * * * * * 15 16 * 18 * * * * * * * 26 * 28 29 30 31 * * * 35 * 37 38 39 40 41 * 43 44 45 46 * * * * 51 52 * * * * * 58 59 60 * * * 64 * * * 68 * * * 72 
* * * * * * * 12 13 * * * * 18 * 20 21 * * 24 25 26 * * * 30 31 * * * 35 36 * 38 * * 41 * * 44 * 46 47 48 * * 51 * * 54 55 56 * 58 * * 61 * 63 * * * 67 * * * 71 72 73 * * * * * * * * * * * * 86 * 88 * 90 1 * * * 
64 65 * 67 68 * * 71 * * * * * 77 78 79 * * * * * * * 87 88 * * 1 * 3 4 5 6 * * 9 * 11 * * 14 15 * 17 * * * 21 * * 24 25 26 * * * 30 * * * * 35 * * * * 40 * * 43 44 * 46 * * * * * 52 * * * * * * * * 61 * * 
* * 2 * * 5 * 7 8 * * * * 13 14 * 16 17 18 19 20 21 * * * * * * 28 29 * 31 * 33 34 * 36 37 * 39 * 41 42 43 * * * * 48 * 50 * * * * 55 * * * 59 * * 62 * * 65 66 * * * * 71 72 * * * 76 * * * 80 * 82 * 84 * 86 * 88 * 
35 * * 38 * 40 * * * 44 * * 47 * 49 50 51 * 53 * * 56 57 * 59 60 * * 63 * * 66 * * * * 71 * 73 74 * 76 * * * 80 * 82 83 * * * 87 88 * 90 * 2 3 * 5 6 * * * * 11 * * * * * 17 18 * * 21 22 * * 25 26 * 28 * * * * 33 * 
63 * * * * * 69 70 * * 73 74 * * 77 78 79 * * 82 * * * 86 87 * 89 * * * * 4 * * * 8 * * * 12 * 14 15 * * * 19 20 * * 23 * * * * 28 29 30 * 32 33 34 * * * * * * 41 * * 44 45 46 47 * * * 51 52 53 * * * 57 * 59 60 * 62 
* 21 22 23 24 * 26 * * * * 31 * * * * 36 * 38 * * 41 * * 44 * * * 48 49 * * * 53 * * * * * * 60 61 62 * * * * * * 69 70 * * * * 75 76 * 78 * 80 81 * * 84 * * * * 89 * * * * * * * * * * 10 * * * 14 * * * * 19 
* * 90 1 * 3 * * * 7 * 9 10 * 12 13 14 * * 17 * * 20 * * * 24 * * * * * * * 32 * 34 35 * * 38 39 * 41 42 * * * * 47 48 * * 51 * * * * * 57 * 59 60 * * * 64 65 * 67 * * * * * 73 * * * 77 78 79 80 * * 83 84 * * * 
39 * * * 43 44 * * 47 48 * * * 52 53 * * * * 58 * 60 61 62 * * * * 67 * 69 70 71 * * * * * * * 79 * 81 * 83 84 * 86 * 88 * * * * 3 * * * 7 * 9 * * * 13 * 15 16 * * * * * * * 24 * 26 * 28 * * 31 32 33 * 35 * * * 
21 * * 24 25 * * * 29 * * * 33 * * * 37 * * * 41 * 43 * * * * 48 49 50 * 52 * 54 55 * 57 * * * * * 63 64 * 66 * 68 * 70 71 * * * 75 * 77 * * * * * * 84 * * 87 88 * * 1 * * * * 6 7 * * 10 * * 13 * * * * * * 20 
41 42 * 44 * * 47 * * 50 * 52 * 54 * * * * * 60 61 62 * * * 66 * * * * 71 72 73 * * 76 * * * * 81 * * * * * 87 * * 90 * * * * 5 * 7 * * * * * * 14 * 16 * 18 19 * 21 22 * * 25 * * 28 * * 31 * * * * 36 * * 39 * 
37 38 39 * * * 43 44 * * * 48 49 50 * * * * 55 * * * * * * 62 63 * * * * 68 69 * * 72 * * * 76 * * 79 * 81 * 83 * * 86 87 88 * 90 1 * * * 5 * * * * * * 12 * 14 15 * * 18 * 20 * * * 24 25 26 * 28 * * * * * 34 * * 
* * 76 * 78 * * * 82 83 * 85 * * * * * * * 3 * 5 * 7 8 9 * 11 12 * * 15 * 17 * * 20 21 * * * 25 * * * 29 * 31 * 33 34 * * 37 * 39 40 * 42 * * * * * 48 49 50 * 52 * 54 55 56 * * * 60 * * 63 * 65 * * 68 * * * 72 * 
* * 48 * * 51 52 53 * * 56 * * * 60 * * 63 * 65 66 67 68 * * * * * * * 76 77 * * * 81 * 83 84 * * * * * * * * * * * 6 * * * 10 11 * * * * * * * * * 21 22 * 24 25 26 * * 29 30 * 32 * * 35 * 37 * * * * * * 44 * 
* * 62 * * * * * * * * * 72 * * 75 76 * * 79 * 81 * * * * * 87 88 * 90 1 * 3 * 5 * * * * 10 * 12 * * * 16 * 18 * * 21 * 23 * * * 27 28 * * 31 * * 34 * 36 * * * 40 * * * 44 45 * * 48 49 * * * * * * * * * * 
* * 52 * 54 * * * * 59 * 61 * 63 * 65 * 67 68 * * * * * 74 * * * * * * 81 * 83 * * * 87 88 89 * * * * * * 6 7 8 9 * 11 12 * * 15 * 17 * 19 20 * 22 * * * 26 27 * 29 * * 32 33 * * 36 * 38 * 40 * * * * * * * 48 * 
40 41 * 43 44 45 46 * * 49 * * * * 54 * 56 * 58 * * * * 63 * 65 * * * 69 * * 72 * * * * * * * 80 81 82 * * * 86 * * * * 1 * * 4 * 6 * * * * 11 * 13 * 15 16 * 18 * * 21 22 * * 25 26 27 * 29 * * * * 34 * * * * * 
44 * * 47 48 * * * * 53 54 * 56 57 * 59 60 * 62 * 64 * 66 67 68 69 * 71 * * * * * * * * * * * * * 85 86 87 * * 90 * * 3 * * 6 * * * 10 11 * * * 15 * 17 * * * 21 * * * 25 * * * 29 30 * * 33 * 35 * 37 * 39 40 41 * 43 
* * * 65 * * 68 * 70 * * * * 75 * * * * * * 82 83 * * 86 * * * * 1 2 * 4 5 * * * * 10 * 12 13 * * * * * 19 * * * 23 * * 26 * 28 29 30 * * 33 * * 36 37 * * * * * * * * * 47 48 49 * * * * 54 * * * * * * * 
11 * * 14 * * * * 19 20 * 22 23 * 25 * * * 29 30 * * 33 * * * * 38 * * * 42 43 44 * * * * * * 51 52 53 * * * 57 * * 60 * * 63 * * 66 * * * 70 * 72 * 74 * * 77 * 79 * * 82 83 84 85 * 87 88 89 90 1 * 3 * * 6 * * 9 10 
34 * 36 37 38 * * * * * * 45 46 47 * * * * * * * 55 * * * * * * 62 * * * * * 68 69 * * * 73 * 75 76 77 * * * 81 * * * * * * * * * 1 2 * * * * 7 * 9 * * 12 13 * * 16 * * * * 21 * * 24 * 26 * 28 29 30 31 * 33 
87 88 89 * 1 * * 4 5 6 * * * * 11 12 * * * * * 18 19 * 21 * * * * * * * 29 30 * * * 34 * * * 38 39 40 * 42 * * 45 * * * * 50 * * 53 * * * 57 58 59 * * 62 63 64 * 66 * 68 * * * 72 73 74 * * * 78 * * 81 82 83 * * * 
* * 77 78 * * * * * 84 * 86 * 88 89 * 1 * 3 4 * 6 7 8 9 10 * * * * * * 17 18 * * 21 * * 24 * * * * 29 30 * * 33 34 35 * * * 39 40 * 42 43 * * * * 48 * * 51 52 * 54 55 * 57 * * * * * 63 * 65 * 67 68 * * 71 72 73 * 
* 13 * * 16 17 18 * * * * 23 24 25 26 * * * * * * * * 35 36 37 38 39 * * * 43 * 45 46 * 48 * * 51 52 53 54 55 * * * 59 * 61 62 * 64 65 * 67 * * * 71 * * 74 * * * * * * 81 82 * * 85 * 87 * * * 1 2 * * 5 * * 8 * 10 * 
22 23 * 25 * 27 28 * * * 32 * 34 * * * * * 40 * 42 * 44 45 46 * * * * 51 * 53 * * * 57 * * 60 61 * 63 * 65 * * * * * * * 73 74 * 76 77 * 79 * * * * 84 * * * 88 * * * * * * * * * * * * * 12 * * * * 17 * 19 * * 
* * * 74 * * 77 * * * 81 * * * 85 * * 88 * * * * * 4 * 6 * * * * 11 * * * 15 16 * * 19 * 21 * * * * * 27 * * * 31 * * 34 35 36 * * * * 41 * 43 44 * * 47 * 49 * * * * * * * * 58 * * * 62 * * * * * 68 69 70 
8 * * * * * * 15 * 17 18 * * 21 * * 24 25 26 * * 29 * 31 * 33 * * * * 38 39 * * * * * * * * 48 * * 51 * * 54 55 56 * * 59 60 61 * * * 65 * 67 * * 70 * * * * * * * * * * * 82 * 84 * * * * * * * 2 3 * * * * 
32 33 34 35 * * * * * * * * * 45 46 47 * 49 * * * * * * * * 58 59 * * 62 * * 65 * * * * 70 * 72 * * * * * 78 * 80 * 82 * 84 * * 87 * 89 * * * * * * * 7 * 9 10 * * * * * 16 17 18 * * * 22 23 24 * 26 * * 29 * * 
16 * * * * * * 23 * * 26 27 * * * * 32 33 34 35 * * 38 39 * * 42 43 * * 46 * 48 * * * * 53 * * * 57 58 59 * 61 * * * * * * * * 70 * * * 74 * * * * * * 81 82 * 84 * * * 88 89 * * * * * 5 * 7 * * 10 * 12 * * * 
* * 51 * * * * 56 * * * * 61 62 * * * * 67 * * * 71 72 * * * * * 78 79 * * * * * 85 86 * 88 * 90 1 2 3 4 * * * * * * 11 * * * * 16 * * * 20 21 * * 24 * * * * * * * * * * * * 37 38 * * * * * 44 * * * * 
13 * 15 * 17 * * * 21 22 23 24 25 * * * * 30 31 32 * 34 * 36 * 38 39 40 41 * 43 * 45 * * * * 50 * 52 * 54 * 56 57 * 59 * * * * 64 * * 67 * * * 71 * 73 * * * * * 79 * * * * 84 * 86 * * 89 * 1 * * * * * * * * * * * 
* * * * 14 * * 17 18 * * * * * * * * * * 29 * * * 33 * 35 * * * 39 * 41 42 43 * * 46 * * 49 50 * 52 * * 55 56 57 58 * * * 62 63 64 * 66 67 * * 70 * * * * * * * 78 * 80 * * * * 85 * * * * * * * * * * 6 7 8 * 
* 52 53 * 55 56 57 * * * 61 * * * * 66 67 * * * 71 * * * * * 77 * * 80 * * * * 85 86 87 88 * * * 2 * * * * * * * * * 12 13 * 15 * 17 18 * * * 22 * * * 26 * 28 * * * * * * * * 37 38 * 40 * * * * * * * 48 * 50 
* * * * * * 12 * * * 16 * 18 19 * * 22 * * 25 26 * * * 30 * * 33 34 * * * 38 * * * * * * 45 * * * * 50 * * * * 55 56 * * * 60 * * * * * 66 * 68 69 70 * 72 73 * 75 76 77 * * * 81 * * 84 * 86 87 * 89 * * * * * 5 
* 15 16 * * * * * * 23 * * 26 27 * * 30 * 32 * * 35 36 * * 39 40 * 42 * * 45 46 * * * * * * 53 * * * * 58 * * 61 * * * * * * * 69 * * 72 73 * * * * 78 * * * * * * * 86 * * * * 1 * * * * 6 * * * 10 * * * 
* * 30 31 * 33 * * * * * * 40 41 * 43 * * * * * * 50 * 52 * 54 * * * 58 59 * * 62 * * * 66 67 68 * 70 * * 73 74 75 * * 78 79 * * 82 83 * 85 * 87 88 * 90 * * 3 4 5 * * 8 * * * * 13 * 15 * * 18 19 20 21 * * * * * * 
1 2 3 * * * * * * * 11 12 * 14 15 * 17 18 * * * * * * * * * 28 29 30 31 * 33 * * * * * 39 40 41 * 43 * * * * * 49 50 51 * 53 54 55 56 * * * * * * * * 65 * 67 68 * * 71 * 73 * * * 77 * * * * 82 83 * * * 87 88 89 * 
* * 81 * * * 85 * 87 88 * * * * 3 * * * * * 9 10 11 12 * 14 * 16 * 18 * * 21 * * 24 25 * * * 29 30 * * 33 34 * 36 37 * 39 40 41 42 * 44 45 46 * 48 49 50 * * * * * 56 57 * 59 * * 62 * 64 65 * 67 68 * 70 71 72 * * 75 76 * * 
65 * * * 69 * * * * * * * 77 78 79 80 81 82 83 84 * 86 * 88 * * * 2 * 4 5 * * 8 * * * * * 14 * * * * * 20 * * * * * * * 28 29 * 31 * * * * * 37 38 39 * * * 43 44 45 * 47 48 * 50 51 52 53 54 * * 57 * 59 * * 62 * * 
* 43 * 45 * * * * 50 * * 53 54 55 56 * 58 * * 61 * 63 64 * * 67 * * * * * 73 74 75 * * * 79 80 81 82 * * * * * * 89 * * 2 * 4 * * * * 9 * * 12 * 14 * * 17 18 19 * * * * 24 * 26 * * * 30 * * * 34 35 36 * 38 39 40 41 
* * * * 76 77 * 79 * * * * * * 86 87 * 89 90 * * 3 4 * 6 * * * 10 11 12 13 14 * * * * * * * * * 24 * 26 * * 29 * * * 33 34 * * * 38 * * * 42 * * * 46 * * 49 * 51 * * 54 55 * * 58 59 60 * * * * * * * * * 70 71 
* * 20 21 * * 24 25 * * * * * 31 32 * * 35 36 * 38 * 40 41 * * 44 * 46 47 * 49 * * * 53 * 55 * 57 * 59 60 * * * * * * * 68 * * 71 * 73 * * * 77 78 * 80 * * 83 * 85 * 87 * * 90 * 2 3 * * 6 * 8 * * * 12 * * * * * 
80 81 82 83 * 85 * * * 89 * 1 * * * * * * 8 9 10 * * * * 15 16 * * 19 * 21 22 * 24 * 26 * 28 * * * * 33 * * * 37 38 39 * * 42 * 44 45 * * 48 * 50 51 * 53 * * * 57 58 * * * 62 63 64 * * 67 68 * * * 72 * 74 * 76 * * 79 
38 39 40 41 * 43 44 45 * * 48 49 50 * * 53 * * * 57 58 * 60 61 * 63 * * 66 * * * * 71 72 * 74 * * * 78 * * * 82 * * 85 * 87 * 89 90 * 2 * * * 6 * 8 * 10 * * * * * * 17 * * * * * 23 * * * 27 28 * * * * 33 34 35 * 37 
* 18 19 20 * * * * * * * * * 30 31 32 33 * * * * * * * 41 * * * * * * * * * * 52 * * 55 56 * * * 60 * 62 * 64 * * * * 69 70 71 * * 74 * * * * 79 * * * * * 85 86 * * * * * 2 * * * * 7 * 9 10 * * * * * * 
* 55 * * 58 * * * * * * * * 67 68 * * 71 * * * * * * * * 80 * * * * * 86 87 * * 90 * * 3 * 5 * * * * * 11 * 13 * * * 17 18 * * * * * * 25 26 27 28 29 * * * * * * * * 38 * * 41 42 * * * * * 48 * * * * 53 
* 79 * 81 * * * 85 86 * * 89 * * * 3 * * * 7 * * * * 12 * 14 * * 17 * 19 20 * 22 23 24 * * * * 29 * * * 33 * 35 * * * 39 * 41 * * * 45 * * * * 50 * * 53 54 * 56 * * * * * * * * * * * 68 69 * * * 73 74 75 * * 
* 27 * 29 30 * * * 34 35 36 37 * * * * * * * 45 * 47 48 * 50 * 52 * * 55 56 * * * 60 * * 63 * * * * * * 70 71 * * 74 75 * * * * 80 81 * 83 * * 86 * 88 * 90 * * 3 * * * 7 * 9 * 11 * 13 * * 16 * * * * * 22 * * * 
9 10 11 * * 14 15 * 17 * * * * 22 * 24 * 26 27 28 * * * * * 34 35 * * * * * * * 43 * * * * 48 * * 51 52 * 54 55 * 57 58 59 60 * 62 * 64 * * * 68 69 70 * 72 * 74 * * 77 78 * * * * 83 84 * * 87 88 89 * 1 2 3 4 * * * * 
* 49 * * 52 * 54 55 * * * 59 60 61 * 63 * * * * * 69 * 71 * 73 74 * * * 78 * 80 * 82 83 * * 86 87 * * 90 1 * 3 * * 6 * 8 * * * * 13 * * * * 18 * * * * * * 25 26 * 28 * * 31 * 33 * 35 * * 38 * * * 42 * 44 45 46 * 
30 * * * * * * 37 38 * * * * * 44 * 46 47 48 * 50 * 52 * * * * * 58 * * 61 62 * * * 66 67 * * * 71 * * 74 * 76 * * 79 * * * 83 * 85 86 * * * * 1 2 * 4 5 * * 8 9 * * 12 * 14 15 * * 18 * * * 22 * * 25 * * * * 
* * * * 74 * * * * 79 80 81 * * * * * * * * * * 2 3 4 * 6 7 * * 10 11 * 13 14 15 * * 18 * 20 21 22 23 24 * 26 * * 29 30 31 32 * 34 35 36 * 38 39 40 41 * 43 44 45 * 47 48 49 * * 52 * 54 55 * * 58 * * 61 62 * * 65 * 67 * * 
55 * 57 * 59 60 * * * * 65 * * 68 69 70 * * 73 74 * * * * * * * * * * 85 * * 88 * * 1 2 3 * 5 * * * * * * 12 * 14 * * 17 18 * * * * * 24 * * * * * * * 32 33 * * 36 * 38 * 40 * * * 44 45 * * * * 50 * * 53 54 
* * * * 23 * * 26 27 28 * * * * 33 * * 36 * * * * * 42 * * * * * * * * * 52 * * * * * * 59 60 * * * 64 * * * * * * * * * * * * * 78 79 * 81 82 * * 85 * 87 * * * * 2 3 4 5 * 7 * 9 10 * 12 * * * 16 * * 
66 * * 69 70 * * * * * * 77 * * * 81 * * 84 * * * * 89 * 1 2 * * 5 * * 8 * 10 11 * * 14 * * * 18 * * * * * 24 * 26 27 * * * * * 33 * 35 * 37 * * * 41 * * * * * * * * 50 * * * * 55 * 57 58 59 60 * 62 * * * 
* * 79 * * * * * * 86 * * * * * * * 4 5 * * * * 10 * * * * * * 17 18 * * 21 * * * * * * 28 29 * * 32 * 34 35 36 * * * * 41 42 * * * * * 48 49 50 * * 53 * * * * * * * * * * * 65 * * 68 * * * * * * * * 
